in:HVAC System Type,in:Plant Performance,in:Outdoor Air Quantity,in:Percent Glazing [%],in:Glazing Performance,in:Lighting Power,in:Avg. Workstation Power [W],in:Roof PV Coverage [%],out:AHU Sizing [CFM/SF],out:Cooling [EUI],out:Heating [EUI],out:Lights/Plug [EUI],out:Fan/Pump [EUI],out:PV [EUI],out:Utility Cost [$/SF-yr],out:Total [EUI]
VAV,High,30% increase,0.3,Low,WSEC Baseline,Med [300W],0,1.36,3,8.4,27.5,13.4,0,0.551,52.3
VAV,High,30% increase,0.4,High,WSEC Baseline,Med [300W],0,1.48,2.7,8.8,27.5,12.4,0,0.542,51.4
VAV,High,30% increase,0.4,Medium,WSEC Baseline,Med [300W],0,1.51,2.9,8.7,27.5,13.2,0,0.552,52.3
VAV,High,30% increase,0.4,Low,WSEC Baseline,Med [300W],0,1.54,3.2,8.7,27.5,14.2,0,0.565,53.6
VAV,High,30% increase,0.5,High,WSEC Baseline,Med [300W],0,1.66,2.8,9,27.5,12.9,0,0.551,52.3
VAV,High,30% increase,0.5,Medium,WSEC Baseline,Med [300W],0,1.69,3.1,9.1,27.5,13.7,0,0.562,53.3
VAV,High,30% increase,0.5,Low,WSEC Baseline,Med [300W],0,1.72,3.4,9.1,27.5,14.7,0,0.577,54.7
VAV,High,30% increase,0.6,High,WSEC Baseline,Med [300W],0,1.84,3,9.3,27.5,13.3,0,0.56,53
VAV,High,30% increase,0.6,Medium,WSEC Baseline,Med [300W],0,1.87,3.2,9.4,27.5,14.1,0,0.572,54.2
VAV,High,30% increase,0.6,Low,WSEC Baseline,Med [300W],0,1.9,3.6,9.5,27.5,15.4,0,0.59,55.9
VAV,High,30% increase,0.3,High,WSEC Baseline,High [400W],0,1.6,2.9,8.2,32,13.8,0,0.6,57
VAV,High,30% increase,0.3,Medium,WSEC Baseline,High [400W],0,1.63,3.1,8.1,32,14.4,0,0.608,57.7
VAV,High,30% increase,0.3,Low,WSEC Baseline,High [400W],0,1.66,3.3,8.1,32,15.3,0,0.62,58.7
VAV,High,30% increase,0.4,High,WSEC Baseline,High [400W],0,1.78,3,8.4,32,14.3,0,0.61,57.8
